T(sec)	Sa(cm/s2)
9.71	-12.9335
9.72	-11.8928
9.73	-12.2021
9.74	-14.2566
9.75	-14.8456
9.76	-11.2949
9.77	-4.8502
9.78	0.3015
9.79	1.3057
9.8	-0.2534
9.81	-0.0566
9.82	3.9041
9.83	8.7933
9.84	10.0277
9.85	5.769
9.86	-2.6367
9.87	-12.7929
9.88	-21.2309
9.89	-22.6685
9.9	-13.6286
9.91	2.1322
9.92	15.2205
9.93	19.6782
9.94	18.4058
9.95	18.1956
9.96	21.8225
9.97	26.8399
9.98	29.7287
9.99	28.7972
10	24.9207
10.01	21.941
10.02	24.474
10.03	32.2603
10.04	37.907
10.05	33.4285
10.06	18.659
10.07	0.844
10.08	-13.1034
10.09	-21.11
10.1	-23.8995
10.11	-22.5958
10.12	-19.0806
10.13	-15.5609
10.14	-12.4347
10.15	-8.43
10.16	-3.3768
10.17	0.9871
10.18	3.0364
10.19	2.0025
10.2	-2.954
10.21	-11.3635
10.22	-18.8779
10.23	-19.8164
10.24	-14.1539
10.25	-9.2582
10.26	-12.3485
10.27	-22.8023
10.28	-33.6201
10.29	-38.9335
10.3	-38.5027
10.31	-36.5414
10.32	-38.1615
10.33	-45.7325
10.34	-56.459
10.35	-63.82
10.36	-62.926
10.37	-54.4633
10.38	-42.9505
10.39	-32.2187
10.4	-23.4702
10.41	-16.2798
10.42	-9.6067
10.43	-2.235
10.44	6.2702
10.45	14.8456
10.46	21.621
10.47	24.9766
10.48	23.8266
10.49	18.0648
10.5	9.5498
10.51	1.8425
10.52	-1.7478
10.53	0.5104
10.54	8.7837
10.55	20.8961
10.56	31.2916
10.57	33.7737
10.58	27.3828
10.59	17.7617
10.6	10.673
10.61	5.9041
10.62	0.056
10.63	-6.347
10.64	-8.2965
10.65	-2.8581
10.66	7.0386
10.67	16.3947
10.68	23.0674
10.69	27.2502
10.7	28.2132
10.71	24.602
10.72	18.1936
10.73	15.0257
10.74	20.5516
10.75	33.1806
10.76	43.8047
10.77	43.302
10.78	30.9949
10.79	15.067
10.8	4.4332
10.81	0.8975
10.82	-0.6545
10.83	-5.715
10.84	-14.7437
10.85	-23.355
10.86	-26.7258
10.87	-24.1001
10.88	-19.748
10.89	-19.4422
10.9	-25.6325
10.91	-35.9583
10.92	-45.72
10.93	-50.5046
10.94	-46.8097
10.95	-32.8346
10.96	-10.738
10.97	12.7188
10.98	29.7702
10.99	36.7507
11	35.9159
11.01	32.8487
11.02	31.9673
11.03	33.2729
11.04	32.8802
11.05	27.617
11.06	19.4367
11.07	14.1956
11.08	15.7101
11.09	22.2559
11.1	29.2136
11.11	33.5133
11.12	34.8242
11.13	34.1678
11.14	32.5971
11.15	30.1537
11.16	25.5346
11.17	18.21
11.18	11.0575
11.19	8.3699
11.2	10.151
11.21	11.0072
11.22	6.5688
11.23	-1.1276
11.24	-6.4941
11.25	-6.356
